,index,label
72,Q_162,2
16,Q_163,4
21,Q_164,4
8,Q_165,0
40,Q_168,4
67,Q_169,4
17,Q_170,4
4,Q_171,4
61,Q_172,5
35,Q_173,0
30,Q_174,0
14,Q_175,0
64,Q_176,0
43,Q_177,1
56,Q_179,2
54,Q_180,0
33,Q_181,4
20,Q_182,4
26,Q_183,5
73,Q_184,1
46,Q_185,1
27,Q_186,2
11,Q_187,4
0,Q_188,0
19,Q_189,2
63,Q_190,2
44,Q_191,1
31,Q_192,0
13,Q_193,4
60,Q_194,0
36,Q_195,4
3,Q_197,0
9,Q_198,4
29,Q_199,4
10,Q_200,0
66,Q_201,4
50,Q_202,4
5,Q_204,0
24,Q_205,2
53,Q_207,0
68,Q_208,4
38,Q_209,0
15,Q_210,1
69,Q_213,0
1,Q_214,4
39,Q_216,1
58,Q_217,2
48,Q_219,1
23,Q_220,4
6,Q_221,1
52,Q_222,1
34,Q_223,2
28,Q_224,0
49,Q_227,1
57,Q_229,4
62,Q_232,5
45,Q_233,1
18,Q_234,3
2,Q_235,0
59,Q_236,4
37,Q_237,0
51,Q_238,1
70,Q_239,4
12,Q_240,1
25,Q_241,1
47,Q_242,1
71,Q_243,2
7,Q_244,5
22,Q_245,2
32,Q_246,5
55,Q_247,4
65,Q_248,4
41,Q_249,4
42,Q_250,2
